face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz
Zm,-391.6666666333955,9.999999899957027,-1450.0000001000103,-14.999999900062221,1170.0000001000005,-1369.9999999000074,-203.33333326672886,589.9999999999787,-1410.0000000000089
Zm,-1170.0000001000005,-1165.000000100062,-1450.0000001000103,-9.999999899957446,-788.3333333667285,-1369.9999999000074,-589.999999999979,-976.6666667333952,-1410.0000000000089
Zm,-1170.0000001000005,-778.3333333667285,-1450.0000001000103,-9.999999899957446,-401.66666663339515,-1369.9999999000074,-589.999999999979,-590.0000000000618,-1410.0000000000089
Zm,-1170.0000001000005,-391.66666663339515,-1450.0000001000103,-9.999999899957446,-14.999999900061766,-1369.9999999000074,-589.999999999979,-203.33333326672846,-1410.0000000000089
Zm,14.99999990006164,-1170.0000001000005,-1450.0000001000103,391.66666663339504,-9.999999899957567,-1369.9999999000074,203.33333326672835,-589.9999999999791,-1410.0000000000089
Zm,401.66666663339504,-1170.0000001000005,-1450.0000001000103,778.3333333667284,-9.999999899957567,-1369.9999999000074,590.0000000000617,-589.9999999999791,-1410.0000000000089
Zm,788.3333333667284,-1170.0000001000005,-1450.0000001000103,1165.0000001000617,-9.999999899957567,-1369.9999999000074,976.666666733395,-589.9999999999791,-1410.0000000000089
Zp,303.67513449480845,-1690.0000000999953,-50.000000099989016,641.5063845448087,-9.999999899994657,50.00000010002325,472.59075951980856,-849.999999999995,1.7116974504460813e-11
Zp,651.5063845448087,-1690.0000000999953,-50.000000099989016,989.3376345948091,-9.999999899994657,50.00000010002325,820.4220095698089,-849.999999999995,1.7116974504460813e-11
Zp,999.3376345948091,-1690.0000000999953,-50.000000099989016,1337.1688846448094,-9.999999899994657,50.00000010002325,1168.2532596198093,-849.999999999995,1.7116974504460813e-11
Zp,1347.1688846448094,-1690.0000000999953,-50.000000099989016,1685.0001346948097,-9.999999899994657,50.00000010002325,1516.0845096698094,-849.999999999995,1.7116974504460813e-11
Zp,303.6751344948082,9.999999900002729,-50.00000009998908,641.5063845448087,1690.000000100003,50.00000010002321,472.59075951980844,850.0000000000028,1.7063683799278806e-11
Zp,651.5063845448087,9.999999900002729,-50.00000009998908,989.3376345948091,1690.000000100003,50.00000010002321,820.4220095698089,850.0000000000028,1.7063683799278806e-11
Zp,999.3376345948091,9.999999900002729,-50.00000009998908,1337.1688846448094,1690.000000100003,50.00000010002321,1168.2532596198093,850.0000000000028,1.7063683799278806e-11
Zp,1347.1688846448094,9.999999900002729,-50.00000009998908,1685.00013469481,1690.000000100003,50.00000010002321,1516.0845096698097,850.0000000000028,1.7063683799278806e-11
Zp,-1690.0000000999546,-1685.0000001000158,-50.00000009995185,682.8198904250055,-1342.5000000000105,50.00000010005298,-503.59005483747455,-1513.750000050013,5.056577379036753e-11
Zp,-1690.0000000999546,-1332.5000000000105,-50.00000009995185,682.8198904250055,-989.9999999000054,50.00000010005298,-503.59005483747455,-1161.2499999500078,5.056577379036753e-11
Zp,-1690.0000000999523,-960.0000001000144,-50.000000099952686,264.2409452625282,-617.5000000000099,50.000000100051444,-712.8795274187121,-788.7500000500122,4.937916742164816e-11
Zp,-1690.0000000999523,-607.5000000000099,-50.000000099952686,264.2409452625282,-264.9999999000054,50.000000100051444,-712.8795274187121,-436.24999995000763,4.937916742164816e-11
