idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
101,1697.0000000000077,-899.6341503784988,-96.51917336624064,1679.9999999000077,-900.1341504784992,-97.01917346624066,1714.0000001000078,-899.1341502784983,-96.01917326624063,34.00000020000016,1.0000002000009545,1.0000002000000308,26.7035375555132
102,1697.0000000000077,-900.7276909177976,-96.57648339746058,1679.9999999000077,-901.2276910177982,-97.07648349746059,1714.0000001000078,-900.2276908177972,-96.07648329746056,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513307
103,1697.0000000000077,-896.9689110866912,-98.25000000003135,1679.9999999000077,-897.4689111866916,-98.75000010003136,1714.0000001000078,-896.4689109866906,-97.74999990003133,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513307
104,1697.0000000000077,-897.3989931107685,-102.34195712228706,1679.9999999000077,-897.8989932107689,-102.84195722228708,1714.0000001000078,-896.898993010768,-101.84195702228705,34.00000020000016,1.0000002000009545,1.0000002000000308,26.70353755551327
105,1697.0000000000077,-901.4235782507053,-103.19740910177757,1679.9999999000077,-901.9235783507057,-103.69740920177757,1714.0000001000078,-900.9235781507048,-102.69740900177754,34.00000020000016,1.0000002000009545,1.0000002000000308,26.70353755551324
106,1697.0000000000077,-899.9999999999377,-100.00000000002937,1679.9999999000077,-903.0000000999382,-103.0000001000294,1714.0000001000078,-896.9999998999373,-96.99999990002935,34.00000020000016,6.0000002000009545,6.000000200000045,961.3273519984768
107,1709.999999999945,-1359.9999999999382,-1420.000000000029,1699.999999899477,-1394.0000000999441,-1454.000000100035,1720.0000001004128,-1325.9999998999322,-1385.999999900023,20.0000002009358,68.00000020001198,68.00000020001198,38492.86040322361
108,1701.4000000000224,-1359.9999999999382,-1420.000000000029,1699.9999999000213,-1391.3445312824047,-1451.3445312824956,1702.8000001000235,-1328.6554687174716,-1388.6554687175626,2.8000002000021595,62.68906256493301,62.68906256493301,1708.2801146081583
109,1708.499999999658,-1359.9999999999372,-1420.000000000029,1690.9999998992917,-1394.0000000999376,-1454.0000001000292,1726.0000001000246,-1325.9999998999372,-1385.999999900029,35.000000200732984,68.00000020000039,68.00000020000016,36891.35208531696
110,1715.7500000000223,-1359.9999999999377,-1420.000000000029,1713.6999999000216,-1387.242394651142,-1447.2423946512333,1717.800000100023,-1332.7576053487335,-1392.7576053488249,4.100000200001432,54.484789302408444,54.484789302408444,1466.2523957513404
